fid,x,y,class,uid
3.0,1611.143,765.2562,car,99.0
4.0,1611.143,765.2562,car,99.0
5.0,1611.143,765.2562,car,99.0
6.0,1611.143,765.2562,car,99.0
7.0,1611.143,765.2562,car,99.0
8.0,1611.143,765.2562,car,99.0
9.0,1611.143,765.2562,car,99.0
10.0,1611.143,765.2562,car,99.0
11.0,1611.143,765.2562,car,99.0
12.0,1611.143,765.2562,car,99.0
13.0,1611.143,765.2562,car,99.0
14.0,1611.143,765.2562,car,99.0
15.0,1611.143,765.2562,car,99.0
16.0,1611.143,765.2562,car,99.0
17.0,1611.143,765.2562,car,99.0
18.0,1611.143,765.2562,car,99.0
19.0,1611.143,765.2562,car,99.0
20.0,1611.143,765.2562,car,99.0
21.0,1611.143,765.2562,car,99.0
22.0,1611.143,765.2562,car,99.0
23.0,1611.143,765.2562,car,99.0
24.0,1611.143,765.2562,car,99.0
25.0,1611.143,765.2562,car,99.0
26.0,1611.143,765.2562,car,99.0
27.0,1611.143,765.2562,car,99.0
28.0,1611.143,765.2562,car,99.0
29.0,1611.143,765.2562,car,99.0
30.0,1611.143,765.2562,car,99.0
31.0,1611.143,765.2562,car,99.0
32.0,1611.143,765.2562,car,99.0
33.0,1611.143,765.2562,car,99.0
34.0,1611.143,765.2562,car,99.0
35.0,1611.143,765.2562,car,99.0
36.0,1611.143,765.2562,car,99.0
37.0,1611.143,765.2562,car,99.0
38.0,1611.143,765.2562,car,99.0
39.0,1611.143,765.2562,car,99.0
40.0,1611.143,765.2562,car,99.0
41.0,1611.143,765.2562,car,99.0
42.0,1611.143,765.2562,car,99.0
43.0,1611.143,765.2562,car,99.0
44.0,1611.143,765.2562,car,99.0
45.0,1611.143,765.2562,car,99.0
46.0,1611.143,765.2562,car,99.0
47.0,1611.143,765.2562,car,99.0
48.0,1611.143,765.2562,car,99.0
49.0,1611.143,765.2562,car,99.0
50.0,1610.7489,765.2714,car,99.0
51.0,1610.355,765.2867,car,99.0
52.0,1609.9612,765.3019,car,99.0
53.0,1609.1738,765.3323,car,99.0
54.0,1608.7804,765.3475,car,99.0
55.0,1608.7804,765.3475,car,99.0
56.0,1608.7804,765.3475,car,99.0
57.0,1608.7804,765.3475,car,99.0
58.0,1609.1738,765.3323,car,99.0
59.0,1608.7804,765.3475,car,99.0
60.0,1608.387,765.3627,car,99.0
61.0,1607.6006,765.39307,car,99.0
62.0,1606.8146,765.4234,car,99.0
63.0,1606.029,765.45374,car,99.0
64.0,1605.244,765.4841,car,99.0
65.0,1604.4594,765.5144,car,99.0
66.0,1604.0673,765.52954,car,99.0
67.0,1603.6752,765.5447,car,99.0
68.0,1602.8914,765.57495,car,99.0
69.0,1602.4998,765.5901,car,99.0
70.0,1602.108,765.6052,car,99.0
71.0,1601.3252,765.63544,car,99.0
72.0,1600.5427,765.66565,car,99.0
73.0,1600.1517,765.6808,car,99.0
74.0,1599.7607,765.69586,car,99.0
75.0,1598.9791,765.7261,car,99.0
76.0,1600.2646,766.768,car,99.0
77.0,1601.5526,767.812,car,99.0
78.0,1602.4513,768.87305,car,99.0
79.0,1603.3513,769.936,car,99.0
80.0,1604.6466,770.9866,car,99.0
81.0,1604.2532,771.001,car,99.0
82.0,1603.8599,771.0154,car,99.0
83.0,1603.4667,771.02985,car,99.0
84.0,1603.4667,771.02985,car,99.0
85.0,1603.0736,771.04425,car,99.0
86.0,1602.6807,771.05865,car,99.0
87.0,1602.2878,771.07306,car,99.0
88.0,1602.2878,771.07306,car,99.0
89.0,1601.5024,771.10187,car,99.0
90.0,1601.11,771.1163,car,99.0
91.0,1600.3253,771.145,car,99.0
92.0,1599.541,771.17377,car,99.0
93.0,1598.3655,771.21686,car,99.0
94.0,1597.5823,771.2456,car,99.0
95.0,1596.4084,771.28864,car,99.0
96.0,1595.6263,771.3173,car,99.0
97.0,1594.8447,771.346,car,99.0
98.0,1596.1278,772.3955,car,99.0
99.0,1597.0215,773.4612,car,99.0
100.0,1597.9171,774.52905,car,99.0
101.0,1598.8142,775.5987,car,99.0
102.0,1599.32,776.6841,car,99.0
103.0,1598.141,776.72504,car,99.0
104.0,1597.3556,776.75226,car,99.0
105.0,1596.5707,776.7795,car,99.0
106.0,1595.394,776.8203,car,99.0
107.0,1594.6102,776.84753,car,99.0
108.0,1593.4352,776.8883,car,99.0
109.0,1592.2612,776.929,car,99.0
110.0,1591.4791,776.9562,car,99.0
111.0,1590.6974,776.9833,car,99.0
112.0,1589.9163,777.0104,car,99.0
113.0,1589.5258,777.0239,car,99.0
114.0,1589.1355,777.0375,car,99.0
115.0,1588.7452,777.051,car,99.0
116.0,1588.3551,777.0646,car,99.0
117.0,1587.9651,777.0781,car,99.0
118.0,1587.5752,777.0916,car,99.0
119.0,1586.7957,777.11865,car,99.0
120.0,1586.0166,777.1457,car,99.0
121.0,1585.6273,777.15924,car,99.0
122.0,1584.8489,777.1862,car,99.0
123.0,1584.0709,777.2132,car,99.0
124.0,1583.6821,777.22675,car,99.0
125.0,1582.9048,777.25366,car,99.0
126.0,1582.1279,777.28064,car,99.0
127.0,1581.3516,777.30756,car,99.0
128.0,1580.5756,777.33453,car,99.0
128.0,1692.9163,1337.1204,car,100.0
129.0,1581.4523,778.40155,car,99.0
129.0,1687.099,1328.5107,car,100.0
130.0,1581.4523,778.40155,car,99.0
130.0,1686.3303,1326.4785,car,100.0
131.0,1581.064,778.41486,car,99.0
131.0,1687.4137,1326.6488,car,100.0
132.0,1582.7194,779.4572,car,99.0
132.0,1686.6453,1324.6198,car,100.0
133.0,1583.9894,780.5153,car,99.0
133.0,1685.3387,1322.5112,car,100.0
134.0,1583.5999,780.5283,car,99.0
134.0,1684.0348,1320.4075,car,100.0
135.0,1584.0919,781.6142,car,99.0
135.0,1683.2732,1318.3925,car,100.0
136.0,1584.9752,782.6892,car,99.0
136.0,1680.1431,1314.1277,car,100.0
137.0,1584.1948,782.7147,car,99.0
137.0,1679.3882,1312.1267,car,100.0
138.0,1583.8048,782.7275,car,99.0
138.0,1679.1699,1310.211,car,100.0
139.0,1583.4149,782.74023,car,99.0
139.0,1679.4873,1308.3799,car,100.0
140.0,1583.025,782.753,car,99.0
140.0,1677.9836,1304.4037,car,100.0
141.0,1582.6354,782.76575,car,99.0
141.0,1679.902,1302.8206,car,100.0
142.0,1581.8563,782.7912,car,99.0
142.0,1681.2852,1301.158,car,100.0
143.0,1581.4669,782.80396,car,99.0
143.0,1683.2024,1299.5759,car,100.0
144.0,1581.0776,782.8167,car,99.0
144.0,1681.6951,1295.6284,car,100.0
145.0,1581.0776,782.8167,car,99.0
145.0,1682.009,1293.8168,car,100.0
146.0,1581.0776,782.8167,car,99.0
146.0,1679.4464,1289.7384,car,100.0
147.0,1581.0776,782.8167,car,99.0
147.0,1677.9546,1285.8317,car,100.0
148.0,1581.0776,782.8167,car,99.0
148.0,1676.4691,1281.9414,car,100.0
149.0,1581.0776,782.8167,car,99.0
149.0,1675.5168,1278.1414,car,100.0
150.0,1581.0776,782.8167,car,99.0
150.0,1675.094,1274.4291,car,100.0
151.0,1581.0776,782.8167,car,99.0
151.0,1674.6727,1270.7292,car,100.0
152.0,1581.4669,782.80396,car,99.0
152.0,1671.9501,1264.917,car,100.0
153.0,1581.8563,782.7912,car,99.0
153.0,1668.2041,1259.0022,car,100.0
154.0,1582.2457,782.7785,car,99.0
154.0,1667.2787,1255.2903,car,100.0
155.0,1582.2457,782.7785,car,99.0
155.0,1666.3564,1251.5923,car,100.0
156.0,1582.2457,782.7785,car,99.0
156.0,1668.2272,1250.0547,car,100.0
157.0,1582.2457,782.7785,car,99.0
157.0,1672.8995,1250.6692,car,100.0
158.0,1581.8563,782.7912,car,99.0
158.0,1674.5641,1247.3192,car,100.0
159.0,1581.4669,782.80396,car,99.0
159.0,1673.941,1241.906,car,100.0
160.0,1581.4669,782.80396,car,99.0
